요일,순위,제목,썸네일,상세페이지,작가
thu,11,"풍작이에요, 마왕님!",https://image-comic.pstatic.net/webtoon/837486/thumbnail/thumbnail_IMAG21_fb9d2340-c0e1-4d42-a9a6-1f1e694c56e0.jpg,https://comic.naver.com/webtoon/list?titleId=837486&tab=thu,이현민 / 여강현 / 문백경
thu,12,게임 속 바바리안으로 살아남기,https://image-comic.pstatic.net/webtoon/808482/thumbnail/thumbnail_IMAG21_0afa3b22-2ed4-47ba-b791-9c8e3a30f6ba.jpg,https://comic.naver.com/webtoon/list?titleId=808482&tab=thu,팀 더 지크 / MIDNIGHT STUDIO / 정윤강
thu,13,작두,https://image-comic.pstatic.net/webtoon/828294/thumbnail/thumbnail_IMAG21_840e741d-f74e-44bc-b60b-a4e132516889.jpg,https://comic.naver.com/webtoon/list?titleId=828294&tab=thu,232 / POGO
thu,14,구세라,https://image-comic.pstatic.net/webtoon/834421/thumbnail/thumbnail_IMAG21_cd201b97-bf86-48a2-8c66-f6db25c964e8.jpg,https://comic.naver.com/webtoon/list?titleId=834421&tab=thu,승 / 한기쁨
thu,15,마도귀환록,https://image-comic.pstatic.net/webtoon/813563/thumbnail/thumbnail_IMAG21_f9d73a36-fdd1-4102-88b5-c2359ba57e7f.jpg,https://comic.naver.com/webtoon/list?titleId=813563&tab=thu,사월 / MISANG / 한유림
fri,1,광마회귀,https://image-comic.pstatic.net/webtoon/776601/thumbnail/thumbnail_IMAG21_7365135131254864183.jpg,https://comic.naver.com/webtoon/list?titleId=776601&tab=fri,JP / 이히 / 유진성
fri,2,역대급 영지 설계사,https://image-comic.pstatic.net/webtoon/777767/thumbnail/thumbnail_IMAG21_cc85f891-272b-450a-b642-cffe1568ab71.jpg,https://comic.naver.com/webtoon/list?titleId=777767&tab=fri,이현민 / 김현수 / 문백경
fri,3,외모지상주의,https://image-comic.pstatic.net/webtoon/641253/thumbnail/thumbnail_IMAG21_01672165-03c8-44b1-ba0e-ef82c9cfcd10.jpg,https://comic.naver.com/webtoon/list?titleId=641253&tab=fri,박태준
fri,4,나 혼자 만렙 뉴비,https://image-comic.pstatic.net/webtoon/773797/thumbnail/thumbnail_IMAG21_37c6a85a-d3a6-4afc-909a-420973f63019.jpg,https://comic.naver.com/webtoon/list?titleId=773797&tab=fri,WAN.Z / 스윙뱃 / 메슬로우
fri,6,상남자,https://image-comic.pstatic.net/webtoon/751168/thumbnail/thumbnail_IMAG21_db791b21-1a43-4a47-bfe4-09f504e0c246.jpg,https://comic.naver.com/webtoon/list?titleId=751168&tab=fri,하늘소 / 도가도 / 김태궁
fri,7,재혼 황후,https://image-comic.pstatic.net/webtoon/735661/thumbnail/thumbnail_IMAG21_2e35b4aa-4459-42fd-84a8-eae732910422.jpg,https://comic.naver.com/webtoon/list?titleId=735661&tab=fri,히어리 / 숨풀 / 알파타르트
fri,8,로맨스 저주,https://image-comic.pstatic.net/webtoon/834035/thumbnail/thumbnail_IMAG21_6a1b8b18-1759-457e-abb6-132878057f35.jpg,https://comic.naver.com/webtoon/list?titleId=834035&tab=fri,다원
fri,9,재입대만 7번째,https://image-comic.pstatic.net/webtoon/837665/thumbnail/thumbnail_IMAG21_50ba7ee1-e82e-479c-bed2-53c3b3900aff.jpg,https://comic.naver.com/webtoon/list?titleId=837665&tab=fri,이진수
